22.32,0.3,8.53,9.9,207,1.8,10.89,0.05
19.15,0.05,8.24,8.8,168,11.7,20.76,0.04
18.62,0.2,8.56,9.3,153,5.9,20.32,0.24
18.66,0.2,8.4,9.3,144,12.7,11.61,0.35
18.68,0.35,8.86,9.8,214,4,18.65,0.19
18.75,0.35,8.8,9.9,207,6,24.82,0.31
16.54,0.2,8.02,7.7,175,5.5,18.2,0.14
14.38,0.1,8.57,7.8,188,5.1,23.19,0.17
12.98,0.3,9.71,10.4,159,3.2,25.66,0.05
13.12,0.3,10,11.8,147.5,5.8,20.32,0.01
19.78,0.3,7.12,7.35,93.2,8.83,5.88,0.11
20.31,0.3,6.89,7.59,93.2,7.38,5.39,0.05
20.77,0.3,7.03,7.68,93.2,7.06,5.63,0.06
14.65,0.25,8.46,9.6,215,12.6,24.06,0.03
21.53,0.8,8.73,9.52,215,6.59,12.67,0.09
16.73,0.3,8.16,8.02,215,1.52,24.67,0.15
17.06,0.7,8.18,8.22,235.3,1.07,25.46,0.15
17.06,0.6,8.19,7.96,215,1.73,21.72,0.15
16.99,0.4,8.18,7.88,215,2.36,21.19,0.15
16.83,0.6,8.15,7.96,215,1.74,22.47,0.15
16.97,0.5,8.22,7.66,215,1.28,24.71,0.15
16.91,0.45,8.47,7.87,235.3,2.6,27.65,0.17
18.68,0.8,7.98,7.47,215,1.5,25.64,0.23
18.37,0.7,8.11,7.75,215,0.91,22.94,0.13
18.47,0.7,8.08,7.89,215,1.49,22.02,0.13
18.17,0.7,8.07,7.56,215,1.32,22.97,0.11
17.83,0.9,8.08,7.83,215,1.13,27.44,0.15
17.72,0.9,8.13,7.8,215,1.18,21.69,0.13
17.71,0.8,8.13,8.41,215,1.63,20.11,0.12
14.9,0.6,7.94,4.4,174.4,3.69,6.36,0.33
15.72,1.1,7.88,9.05,133.8,1.87,12.63,0.26
15.67,0.5,7.67,6.24,160.9,5.53,16.19,0.19
13.62,0.4,8.46,10.2,206,7.5,23.41,0.04
17.07,0.35,9.5,14.8,158,3.9,17.67,0.14
20.29,1.8,7.29,8.47,72.9,1.28,4.89,0.04
20.5,2,7.46,8.44,72.9,1.91,5.83,0.05
